Month,Year,Date,ETo _mm,Precip_mm,MaxT,MinT,AvgT
8,2009,2009-08-30,4.24,0,25.7,12.2,16.6
8,2009,2009-08-31,3.37,0,24.9,12.7,16.4
9,2009,2009-09-01,4.89,0,33,11.5,18.6
9,2009,2009-09-02,4.11,0,32.2,15.2,20.7
9,2009,2009-09-03,5.17,0,33,14.1,21.3
9,2009,2009-09-04,4.49,0,26,10.3,16.6
9,2009,2009-09-05,4.07,0,25.8,8.5,15.8
9,2009,2009-09-06,4.75,0,27.3,10.3,17.2
9,2009,2009-09-07,4.3,0,25.7,9.8,15.8
9,2009,2009-09-08,4.17,0,23.6,8.4,14.7
9,2009,2009-09-09,3.7,0,19.4,11.2,14.4
9,2009,2009-09-10,4.45,0,31,9.8,16.6
9,2009,2009-09-11,3.31,0,24.7,9.9,16
9,2009,2009-09-12,3.35,0,20.9,12.3,15.1
9,2009,2009-09-13,2.12,0,19.1,13.1,15.3
9,2009,2009-09-14,3.26,0,24,12.6,16.1
9,2009,2009-09-15,4.19,0,27.6,10.6,17.2
9,2009,2009-09-16,4.03,0,26.8,11.5,18
9,2009,2009-09-17,3.69,0,26,11.9,16.6
9,2009,2009-09-18,4.2,0,25.2,13.1,18.7
9,2009,2009-09-19,3,0,22.4,11.5,15.1
9,2009,2009-09-20,3.06,0,19.4,12,14.6
9,2009,2009-09-21,3.16,0,19.8,11.1,14.3
9,2009,2009-09-22,3.76,0,24.3,10.1,15.8
9,2009,2009-09-23,3.83,0,27.3,9.8,16.4
9,2009,2009-09-24,3.44,0,24.3,9.1,14.5
9,2009,2009-09-25,3.54,0,25,9.7,14.7
9,2009,2009-09-26,4.22,0,33,9.2,18.2
9,2009,2009-09-27,3.54,0,24.4,11.8,16.3
9,2009,2009-09-28,1.26,0,18.5,11.1,13.7
9,2009,2009-09-29,3.26,0,19.7,8.8,14
9,2009,2009-09-30,3.74,0,24,5.3,13.9
10,2009,2009-10-01,4.05,0,27.9,7.1,16.5
10,2009,2009-10-02,3.76,0,25.5,8.8,15
10,2009,2009-10-03,3.28,0,19.8,7.9,12.7
10,2009,2009-10-04,3.27,0,17.4,5.7,11.4
10,2009,2009-10-05,3.29,0,19.8,4.3,11.8
10,2009,2009-10-06,3.52,0,22.6,6,13.6
10,2009,2009-10-07,3.13,0,19.3,6.7,12.6
10,2009,2009-10-08,2.75,0,17.2,8.3,12.3
10,2009,2009-10-09,2.1,0,15.8,6.6,11
10,2009,2009-10-10,1.75,0,14.7,6.2,10.2
10,2009,2009-10-11,0.35,0,13.7,9.6,11.3
10,2009,2009-10-12,0.9,0.25,16.4,,14.5
10,2009,2009-10-13,0.01,111.8,15.5,13,14.3
10,2009,2009-10-14,1.04,1.52,20.3,14.5,16.3
10,2009,2009-10-15,2.94,0,26.3,15.1,19.1
10,2009,2009-10-16,3.2,0,29.1,14.2,20.4
10,2009,2009-10-17,2.75,0,27.1,12.5,18.7
10,2009,2009-10-18,1.9,0,21.6,9.3,15.6
10,2009,2009-10-19,0.25,4.32,15.4,8.3,12
10,2009,2009-10-20,2.41,0,19.6,8.8,13.4
10,2009,2009-10-21,1.95,0.25,20.2,7.6,12.8
10,2009,2009-10-22,2.37,0,21.5,9,13.8
10,2009,2009-10-23,2.63,0,24.1,10.4,15.8
10,2009,2009-10-24,2.39,0,21.4,10.2,14.2
10,2009,2009-10-25,2.56,0,24.3,8.6,15
10,2009,2009-10-26,2.87,0,24.6,10.1,16.4
10,2009,2009-10-27,2.98,0,18.3,7.8,13.4
10,2009,2009-10-28,3.18,0,17.1,9.6,12.9
10,2009,2009-10-29,2.54,0,18.5,6.3,11.7
10,2009,2009-10-30,2.5,0,21.9,7,13
10,2009,2009-10-31,2.38,0,22.6,6.6,13.4
11,2009,2009-11-01,2.42,0,25.8,9.4,16.2
11,2009,2009-11-02,2.77,0,27.6,9.8,17.9
11,2009,2009-11-03,2.67,0,27.2,10.2,16.2
11,2009,2009-11-04,0.63,0,16.1,8.4,11.7
11,2009,2009-11-05,1.1,2.03,18.3,7.7,12.5
11,2009,2009-11-06,1.61,0.25,20.3,11.5,14.6
11,2009,2009-11-07,2.17,0,19.4,6.6,12.5
11,2009,2009-11-08,2.03,0,20.4,6,11.7
11,2009,2009-11-09,1.72,0,18.6,3.8,10.6
11,2009,2009-11-10,1.68,0,19.9,6.2,12.8
11,2009,2009-11-11,0.54,0,16.1,7.4,11.7
11,2009,2009-11-12,1.56,0,16.7,7.6,11.2
11,2009,2009-11-13,1.74,0,15.4,3.9,8.9
11,2009,2009-11-14,1.23,0.25,16.9,4.4,9.6
11,2009,2009-11-15,1.95,0,18.6,3.2,9.8
11,2009,2009-11-16,2.02,0,19.7,3.6,10.6
11,2009,2009-11-17,1.75,0,17,2.6,9.6
11,2009,2009-11-18,1.87,0,16.9,4,10
11,2009,2009-11-19,1.79,0,18.8,2.1,9.2
11,2009,2009-11-20,0.25,4.06,13.5,4.6,8.3
11,2009,2009-11-21,1.61,0,15.2,2.2,7.8
11,2009,2009-11-22,1.22,0,15.1,4,9.5
11,2009,2009-11-23,1.69,0,17.3,5.2,10.4
11,2009,2009-11-24,1.94,0,22.8,4.7,12.6
11,2009,2009-11-25,2.01,0,24,6.2,13.8
11,2009,2009-11-26,1.81,0,24.2,6.2,12.9
11,2009,2009-11-27,0.69,0,14,7.6,10.1
11,2009,2009-11-28,2.39,0,18.9,4.3,12.7
11,2009,2009-11-29,2.16,0,19.5,6,12.6
11,2009,2009-11-30,1.8,0,20.2,3.4,10.5
12,2009,2009-12-01,1.52,0,15.7,3.7,8.8
12,2009,2009-12-02,0.62,0,10.3,3.8,6.4
12,2009,2009-12-03,1.38,0,16.1,4,8.1
12,2009,2009-12-04,1.48,0,16.8,1.4,7.8
12,2009,2009-12-05,0.7,0,13.5,1.3,6.9
12,2009,2009-12-06,0.45,0,10.2,0,4.5
12,2009,2009-12-07,0.9,9.4,9,-1.1,4.7
12,2009,2009-12-08,1.01,0,9.6,-2.3,3.1
12,2009,2009-12-09,1.25,0,11.7,-1.4,4.4
12,2009,2009-12-10,0.48,14.22,11.8,4.2,7.3
12,2009,2009-12-11,0.12,10.92,12.8,7.2,10.4
12,2009,2009-12-12,0.08,32,13,9.2,11
12,2009,2009-12-13,0.38,4.83,11.9,8.4,10.4
12,2009,2009-12-14,0.91,0.76,15.1,5.3,9
12,2009,2009-12-15,0.79,0,14.7,4.4,8.4
12,2009,2009-12-16,0.66,0.51,16.1,6.7,10.8
12,2009,2009-12-17,1.45,0,18.5,7.2,11.6
12,2009,2009-12-18,1.39,0,16.9,6.9,11.1
12,2009,2009-12-19,1.28,0,17.9,6.7,10.8
12,2009,2009-12-20,1.27,0,18.7,7.2,11.2
12,2009,2009-12-21,0.29,2.03,13.4,7.3,10
12,2009,2009-12-22,1.49,0.25,12.9,2.1,7.2
12,2009,2009-12-23,1.6,0,13.6,2.2,7.3
12,2009,2009-12-24,1.47,0,15.6,1,7
12,2009,2009-12-25,1.58,0,18.9,2,8.2
12,2009,2009-12-26,0.68,13.97,13.4,3,7.5
12,2009,2009-12-27,1.04,8.13,15.1,7.6,10.4
12,2009,2009-12-28,0.24,2.03,12,7,8.6
12,2009,2009-12-29,1.03,5.08,13.1,3.8,8.3
12,2009,2009-12-30,1.05,7.37,14.7,7.4,10
12,2009,2009-12-31,1.06,0,15.9,7.4,10.6
1,2010,2010-01-01,0.83,0,16.9,7.4,10.6
1,2010,2010-01-02,1.29,0,16.9,5.5,11
1,2010,2010-01-03,1.65,0,19.5,3.8,9.5
1,2010,2010-01-04,1.81,0,20.6,5.9,11
1,2010,2010-01-05,1.36,0,17.8,4.3,9.8
1,2010,2010-01-06,1.3,0,17.7,5.3,10.6
1,2010,2010-01-07,1.49,0,18.7,6.6,11.8
1,2010,2010-01-08,1.13,0,20.7,8,12.3
1,2010,2010-01-09,0.91,0,18.4,7.3,11.2
1,2010,2010-01-10,1.37,0,20,5.6,11.5
1,2010,2010-01-11,0.97,0,16.5,8.4,11.5
1,2010,2010-01-12,0.09,32.26,13.4,10,11.8
1,2010,2010-01-13,1.13,3.56,16.5,6.8,11.7
1,2010,2010-01-14,1.67,0,16.8,4.5,9.6
1,2010,2010-01-15,0.99,0,16.5,5,9.7
1,2010,2010-01-16,0.93,0,14.2,5,10.3
1,2010,2010-01-17,0.11,14.48,11.8,8.3,9.7
1,2010,2010-01-18,0.63,32,13.5,8.9,11.1
1,2010,2010-01-19,0.52,24.89,13,8.3,9.9
1,2010,2010-01-20,0.93,44.96,13.5,8,9.9
1,2010,2010-01-21,0.15,20.32,9.4,5,7.3
1,2010,2010-01-22,0.84,13.46,11.4,4,6.3
1,2010,2010-01-23,1.69,3.81,13.7,4,7.4
1,2010,2010-01-24,0.53,0,11.7,3.6,7.6
1,2010,2010-01-25,0.53,7.11,12.7,7.8,10
1,2010,2010-01-26,0.3,24.64,12.9,8,10.4
1,2010,2010-01-27,1.85,0.25,15.7,5.3,9.6
1,2010,2010-01-28,1.64,0,16.1,3.6,8.9
1,2010,2010-01-29,1.45,15.75,14.4,5.7,9.5
1,2010,2010-01-30,1.89,0,15.9,4.9,9.4
1,2010,2010-01-31,1.99,0,15.4,3.7,8.9
2,2010,2010-02-01,1.47,0,14.9,4.8,9.2
2,2010,2010-02-02,1.05,0.25,17,6.4,9.5
2,2010,2010-02-03,1.97,0,16.4,5.1,10.2
2,2010,2010-02-04,0.43,24.13,13.4,8.2,10.5
2,2010,2010-02-05,1.23,3.3,15.7,10,11.9
2,2010,2010-02-06,1.63,19.81,14.7,4.6,9.9
2,2010,2010-02-07,2.17,0.25,14.7,4.4,9.2
2,2010,2010-02-08,0.95,1.27,12.8,5,9
2,2010,2010-02-09,1.2,11.43,13.8,5.7,8.2
2,2010,2010-02-10,1.46,0,13.9,2.8,8.1
2,2010,2010-02-11,1.68,0,14.1,3.7,8.5
2,2010,2010-02-12,0.99,3.56,15.1,7.7,11
2,2010,2010-02-13,2.49,0.25,18.7,6.2,11.6
2,2010,2010-02-14,2.53,0,20.2,5.1,11.4
2,2010,2010-02-15,2.55,0,19.6,5.9,11.8
2,2010,2010-02-16,2.39,0,22,7.5,13.1
2,2010,2010-02-17,2.83,0,21.6,7.5,13.3
2,2010,2010-02-18,0.31,0,10.9,7.8,9.7
2,2010,2010-02-19,0.88,1.27,13,8.9,10.7
2,2010,2010-02-20,1.98,0,15.4,6.5,10.6
2,2010,2010-02-21,0.67,10.67,12.4,6.7,9.3
2,2010,2010-02-22,2.65,0,15.5,4.9,9.7
2,2010,2010-02-23,0.23,33.02,9.4,5.3,7.5
2,2010,2010-02-24,1.5,39.12,17.1,7.4,10.9
2,2010,2010-02-25,2.6,0,17.7,5.6,10.6
2,2010,2010-02-26,0.32,10.16,14.4,7.5,11
2,2010,2010-02-27,1.78,7.37,15.7,6.7,10.6
2,2010,2010-02-28,2.22,0,16.1,4.9,9.8
3,2010,2010-03-01,0.58,0,13.2,6.8,10.1
3,2010,2010-03-02,0.49,24.13,12.8,6.4,9.9
3,2010,2010-03-03,1.24,25.4,12.7,3.7,7.9
3,2010,2010-03-04,2.59,0.25,15,1.6,7.5
3,2010,2010-03-05,2.04,0,13.1,2.8,7.9
3,2010,2010-03-06,2.13,0,17.2,5.9,10.5
3,2010,2010-03-07,3.03,0,16.5,4.8,10.2
3,2010,2010-03-08,2.59,2.29,13,3,8.1
3,2010,2010-03-09,3.09,0.51,13.3,2.2,7.1
3,2010,2010-03-10,3.16,10.41,14.7,2.9,8.5
3,2010,2010-03-11,3.47,0,16,1.6,8.2
3,2010,2010-03-12,0.56,14.22,11.8,3.4,7.7
3,2010,2010-03-13,3.46,0,14.7,2.1,7.9
3,2010,2010-03-14,3.52,0,17.8,1.2,9.4
3,2010,2010-03-15,3.92,0,21.8,4.1,12.2
3,2010,2010-03-16,3.95,0,23.4,6.5,14.1
3,2010,2010-03-17,3.99,0,26.3,8,14.7
3,2010,2010-03-18,4.19,0,24.4,6.4,14.8
3,2010,2010-03-19,4.35,0,23.7,7.1,14.8
3,2010,2010-03-20,3.71,0,20.2,4.6,11.4
3,2010,2010-03-21,3.22,0,20.7,2.6,10.8
3,2010,2010-03-22,3.88,0,20.2,6.4,12.9
3,2010,2010-03-23,4.15,0,20.7,5.4,12.5
3,2010,2010-03-24,3.52,2.29,16.6,3.8,9.9
3,2010,2010-03-25,3.26,0.25,16.1,5.6,10.4
3,2010,2010-03-26,3.92,0,18.7,3.6,10.6
3,2010,2010-03-27,4.29,0,20.3,3.5,11.3
3,2010,2010-03-28,4.29,0,21.3,5.4,12.3
3,2010,2010-03-29,1.69,2.03,14.9,5,10.9
3,2010,2010-03-30,3.2,2.03,14.6,7.7,11.4
3,2010,2010-03-31,2.6,18.54,11.9,4.2,7.5
4,2010,2010-04-01,2.78,0.51,14.7,2.5,7.8
4,2010,2010-04-02,0.74,34.29,11.6,2.5,7.3
4,2010,2010-04-03,2.5,0,14.7,2.2,7.8
4,2010,2010-04-04,0.64,9.91,11.3,3.6,7.9
4,2010,2010-04-05,3.35,3.81,13.5,5.1,8.7
4,2010,2010-04-06,4.13,0,18.8,3,10.5
4,2010,2010-04-07,4.6,0,23.2,3.9,13.3
4,2010,2010-04-08,4.2,0,20.4,5.4,11.4
4,2010,2010-04-09,4.24,0,21,3.4,11.7
